,Symbol,Description,Industry,Sector
2037,RDN,RADIAN GROUP INC.,Property-Casualty Insurers,Finance
2038,RDNT,"RADNET, INC.",Medical Specialities,Health Care
2039,RDUS,"RADIUS HEALTH, INC.",Major Pharmaceuticals,Health Care
2040,RE,"EVEREST RE GROUP, LTD.",Property-Casualty Insurers,Finance
2041,REG,REGENCY CENTERS CORPORATION,Real Estate Investment Trusts,Consumer Services
2042,REGI,"RENEWABLE ENERGY GROUP, INC.",Major Chemicals,Basic Industries
2043,REGN,"REGENERON PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
2044,REI,"RING ENERGY, INC.",Oil & Gas Production,Energy
2045,RELL,"RICHARDSON ELECTRONICS, LTD.",Electronic Components,Technology
2046,REPH,"RECRO PHARMA, INC.",Major Pharmaceuticals,Health Care
2047,RES,"RPC, INC.",Oilfield Services/Equipment,Energy
2048,RESI,FRONT YARD RESIDENTIAL CORPORATION,Real Estate,Finance
2049,RETA,"REATA PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
2050,REV,"REVLON, INC.",Package Goods/Cosmetics,Consumer Non-Durables
2051,REVG,"REV GROUP, INC.",Auto Manufacturing,Capital Goods
2052,REX,REX AMERICAN RESOURCES CORPORATION,Major Chemicals,Basic Industries
2053,REXR,"REXFORD INDUSTRIAL REALTY, INC.",Real Estate Investment Trusts,Consumer Services
2054,RF,REGIONS FINANCIAL CORPORATION,Major Banks,Finance
2055,RFP,RESOLUTE FOREST PRODUCTS INC.,Paper,Basic Industries
2056,RGA,"REINSURANCE GROUP OF AMERICA, INCORPORATED",Life Insurance,Finance
2057,RGCO,RGC RESOURCES INC.,Oil & Gas Production,Public Utilities
2058,RGEN,REPLIGEN CORPORATION,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
2059,RGLD,"ROYAL GOLD, INC.",Precious Metals,Basic Industries
2060,RGLS,REGULUS THERAPEUTICS INC.,Major Pharmaceuticals,Health Care
2061,RGNX,REGENXBIO INC.,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
2062,RGR,"STURM, RUGER & COMPANY, INC.",Ordnance And Accessories,Capital Goods
2063,RGS,REGIS CORPORATION,Other Consumer Services,Consumer Services
2064,RH,RH,Other Specialty Stores,Consumer Services
2065,RHI,ROBERT HALF INTERNATIONAL INC.,Professional Services,Technology
2066,RHP,"RYMAN HOSPITALITY PROPERTIES, INC.",Real Estate Investment Trusts,Consumer Services
2067,RICK,"RCI HOSPITALITY HOLDINGS, INC.",Restaurants,Consumer Services
2068,RIG,TRANSOCEAN LTD.,Oil & Gas Production,Energy
2069,RIGL,"RIGEL PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
2070,RILY,"B. RILEY FINANCIAL, INC.",Business Services,Miscellaneous
2071,RJF,"RAYMOND JAMES FINANCIAL, INC.",Investment Bankers/Brokers/Service,Finance
2072,RKT,"ROCKET COMPANIES, INC.",Finance: Consumer Services,Finance
2073,RL,RALPH LAUREN CORPORATION,Apparel,Consumer Non-Durables
2074,RLGT,"RADIANT LOGISTICS, INC.",Oil Refining/Marketing,Transportation
2075,RLGY,REALOGY HOLDINGS CORP.,Real Estate,Finance
2076,RLH,RED LION HOTELS CORPORATION,Hotels/Resorts,Consumer Services
2077,RLI,RLI CORP.,Property-Casualty Insurers,Finance
2078,RLJ,RLJ LODGING TRUST,Real Estate Investment Trusts,Consumer Services
2079,RM,REGIONAL MANAGEMENT CORP.,Finance: Consumer Services,Finance
2080,RMAX,"RE/MAX HOLDINGS, INC.",Real Estate,Finance
2081,RMBS,"RAMBUS, INC.",Semiconductors,Technology
2082,RMD,RESMED INC.,Medical/Dental Instruments,Health Care
2083,RMG,RMG ACQUISITION CORP.,Business Services,Finance
2084,RMR,THE RMR GROUP INC.,Professional Services,Consumer Services
2085,RMTI,"ROCKWELL MEDICAL, INC.",Major Pharmaceuticals,Health Care
2086,RNET,"RIGNET, INC.",Telecommunications Equipment,Consumer Services
2087,RNG,"RINGCENTRAL, INC.",EDP Services,Technology
2088,RNR,RENAISSANCERE HOLDINGS LTD.,Property-Casualty Insurers,Finance
2089,RNST,RENASANT CORPORATION,Major Banks,Finance
2090,RNWK,"REALNETWORKS, INC.",EDP Services,Technology
2091,ROCK,"GIBRALTAR INDUSTRIES, INC.",Steel/Iron Ore,Capital Goods
2092,ROG,ROGERS CORPORATION,Major Chemicals,Basic Industries
2093,ROIC,RETAIL OPPORTUNITY INVESTMENTS CORP.,Real Estate Investment Trusts,Consumer Services
2094,ROK,"ROCKWELL AUTOMATION, INC.",Industrial Machinery/Components,Capital Goods
2095,ROL,"ROLLINS, INC.",Diversified Commercial Services,Finance
2096,ROLL,RBC BEARINGS INCORPORATED,Metal Fabrications,Capital Goods
2097,ROP,"ROPER TECHNOLOGIES, INC.",Industrial Machinery/Components,Capital Goods
2098,ROSE,,,
2099,ROST,"ROSS STORES, INC.",Clothing/Shoe/Accessory Stores,Consumer Services
2100,RP,"REALPAGE, INC.",Computer Software: Prepackaged Software,Technology
2101,RPAI,"RETAIL PROPERTIES OF AMERICA, INC.",Real Estate Investment Trusts,Consumer Services
2102,RPD,"RAPID7, INC.",Computer Software: Prepackaged Software,Technology
2103,RPM,RPM INTERNATIONAL INC.,Paints/Coatings,Basic Industries
2104,RPRX,ROYALTY PHARMA PLC,Major Pharmaceuticals,Health Care
2105,RPT,RPT REALTY,Real Estate Investment Trusts,Consumer Services
2106,RRC,RANGE RESOURCES CORPORATION,Oil & Gas Production,Energy
2107,RRD,R.R. DONNELLEY & SONS COMPANY,Publishing,Miscellaneous
2108,RRGB,"RED ROBIN GOURMET BURGERS, INC.",Restaurants,Consumer Services
2109,RRR,"RED ROCK RESORTS, INC.",Hotels/Resorts,Consumer Services
2110,RRTS,,,
2111,RS,RELIANCE STEEL & ALUMINUM CO.,Metal Fabrications,Basic Industries
2112,RSG,"REPUBLIC SERVICES, INC.",Environmental Services,Public Utilities
2113,RST,ROSETTA STONE,Computer Software: Prepackaged Software,Technology
2114,RTIX,,,
2115,RTRX,"RETROPHIN, INC.",Major Pharmaceuticals,Health Care
2116,RUN,SUNRUN INC.,Industrial Specialties,Capital Goods
2117,RUSHA,"RUSH ENTERPRISES, INC.",Automotive Aftermarket,Consumer Durables
2118,RUSHB,"RUSH ENTERPRISES, INC.",Automotive Aftermarket,Consumer Durables
2119,RUTH,"RUTH'S HOSPITALITY GROUP, INC.",Restaurants,Consumer Services
2120,RVI,RETAIL VALUE INC.,Real Estate,Finance
2121,RVLT,,,
2122,RVNC,"REVANCE THERAPEUTICS, INC.",Major Pharmaceuticals,Health Care
2123,RVSB,RIVERVIEW BANCORP INC,Savings Institutions,Finance
2124,RWT,"REDWOOD TRUST, INC.",Real Estate Investment Trusts,Consumer Services
2125,RXN,REXNORD CORPORATION,Industrial Machinery/Components,Technology
2126,RYAAY,RYANAIR HOLDINGS PLC,Air Freight/Delivery Services,Transportation
2127,RYAM,RAYONIER ADVANCED MATERIALS INC.,Major Chemicals,Basic Industries
2128,RYI,RYERSON HOLDING CORPORATION,Metal Fabrications,Basic Industries
2129,RYN,RAYONIER INC.,Real Estate Investment Trusts,Consumer Services
2130,SABR,SABRE CORPORATION,"Computer Software: Programming, Data Processing",Technology
2131,SAFM,"SANDERSON FARMS, INC.",Meat/Poultry/Fish,Consumer Non-Durables
2132,SAFT,"SAFETY INSURANCE GROUP, INC.",Property-Casualty Insurers,Finance
2133,SAGE,"SAGE THERAPEUTICS, INC.",Major Pharmaceuticals,Health Care
2134,SAH,"SONIC AUTOMOTIVE, INC.",Automotive Aftermarket,Consumer Durables
2135,SAIA,"SAIA, INC.",Trucking Freight/Courier Services,Transportation
2136,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,EDP Services,Technology
2137,SALM,"SALEM MEDIA GROUP, INC.",Broadcasting,Consumer Services
2138,SALT,SCORPIO BULKERS INC.,Marine Transportation,Transportation
2139,SAM,"BOSTON BEER COMPANY, INC. (THE)",Beverages (Production/Distribution),Consumer Non-Durables
2140,SAMG,SILVERCREST ASSET MANAGEMENT GROUP INC.,Investment Managers,Finance
2141,SANM,SANMINA CORPORATION,Electrical Products,Technology
2142,SASR,"SANDY SPRING BANCORP, INC.",Major Banks,Finance
2143,SATS,ECHOSTAR CORPORATION,Radio And Television Broadcasting And Communications Equipment,Technology
2144,SAVE,"SPIRIT AIRLINES, INC.",Air Freight/Delivery Services,Transportation
2145,SB,"SAFE BULKERS, INC",Marine Transportation,Transportation
2146,SBAC,SBA COMMUNICATIONS CORPORATION,Real Estate Investment Trusts,Consumer Services
2147,SBBP,STRONGBRIDGE BIOPHARMA PLC,Major Pharmaceuticals,Health Care
2148,SBCF,SEACOAST BANKING CORPORATION OF FLORIDA,Major Banks,Finance
2149,SBGI,"SINCLAIR BROADCAST GROUP, INC.",Broadcasting,Consumer Services
2150,SBH,"SALLY BEAUTY HOLDINGS, INC.",Other Specialty Stores,Consumer Services
2151,SBNY,SIGNATURE BANK,Major Banks,Finance
2152,SBOW,"SILVERBOW RESORCES, INC.",Oil & Gas Production,Energy
2153,SBRA,"SABRA HEALTH CARE REIT, INC.",Real Estate Investment Trusts,Consumer Services
2154,SBSI,"SOUTHSIDE BANCSHARES, INC.",Major Banks,Finance
2155,SBUX,STARBUCKS CORPORATION,Restaurants,Consumer Services
2156,SC,SANTANDER CONSUMER USA HOLDINGS INC.,Finance: Consumer Services,Finance
2157,SCCO,SOUTHERN COPPER CORPORATION,Precious Metals,Basic Industries
2158,SCHL,SCHOLASTIC CORPORATION,Books,Consumer Services
2159,SCHN,"SCHNITZER STEEL INDUSTRIES, INC.",Industrial Specialties,Consumer Durables
2160,SCHW,THE CHARLES SCHWAB CORPORATION,Investment Bankers/Brokers/Service,Finance
2161,SCI,SERVICE CORPORATION INTERNATIONAL,Other Consumer Services,Consumer Services
2162,SCL,STEPAN COMPANY,Package Goods/Cosmetics,Basic Industries
2163,SCM,STELLUS CAPITAL INVESTMENT CORPORATION,,
2164,SCOR,"COMSCORE, INC.",Business Services,Miscellaneous
2165,SCS,STEELCASE INC.,Office Equipment/Supplies/Services,Consumer Durables
2166,SCSC,"SCANSOURCE, INC.",Retail: Computer Software & Peripheral Equipment,Technology
2167,SCTY,,,
2168,SCVL,"SHOE CARNIVAL, INC.",Clothing/Shoe/Accessory Stores,Consumer Services
2169,SCWX,SECUREWORKS CORP.,Computer Software: Prepackaged Software,Technology
2170,SD,"SANDRIDGE ENERGY, INC.",Oil & Gas Production,Energy
2171,SE,SEA LIMITED,Other Consumer Services,Consumer Services
2172,SEAC,"SEACHANGE INTERNATIONAL, INC.",Radio And Television Broadcasting And Communications Equipment,Technology
2173,SEAS,"SEAWORLD ENTERTAINMENT, INC.",Services-Misc. Amusement & Recreation,Consumer Services
2174,SEB,SEABOARD CORPORATION,Investment Bankers/Brokers/Service,Finance
2175,SEE,SEALED AIR CORPORATION,Major Chemicals,Basic Industries
2176,SEIC,SEI INVESTMENTS COMPANY,Investment Bankers/Brokers/Service,Finance
2177,SELB,"SELECTA BIOSCIENCES, INC.",Major Pharmaceuticals,Health Care
2178,SEM,SELECT MEDICAL HOLDINGS CORPORATION,Hospital/Nursing Management,Health Care
2179,SENEA,SENECA FOODS CORP.,Packaged Foods,Consumer Non-Durables
2180,SERV,"SERVICEMASTER GLOBAL HOLDINGS, INC.",Other Consumer Services,Consumer Services
2181,SF,STIFEL FINANCIAL CORPORATION,Investment Bankers/Brokers/Service,Finance
2182,SFBS,"SERVISFIRST BANCSHARES, INC.",Major Banks,Finance
2183,SFE,"SAFEGUARD SCIENTIFICS, INC.",Finance/Investors Services,Finance
2184,SFL,SFL CORPORATION LTD,Marine Transportation,Transportation
2185,SFM,"SPROUTS FARMERS MARKET, INC.",Food Chains,Consumer Services
2186,SFNC,SIMMONS FIRST NATIONAL CORPORATION,Major Banks,Finance
2187,SFST,"SOUTHERN FIRST BANCSHARES, INC.",Major Banks,Finance
2188,SFY,SOFI SELECT 500 ETF,Exchange Traded Fund,Financial
2189,SGA,"SAGA COMMUNICATIONS, INC.",Broadcasting,Consumer Services
2190,SGC,"SUPERIOR GROUP OF COMPANIES, INC.",Apparel,Consumer Non-Durables
2191,SGEN,"SEATTLE GENETICS, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
2192,SGMO,"SANGAMO THERAPEUTICS, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
2193,SGMS,SCIENTIFIC GAMES CORP,EDP Services,Technology
2194,SGRY,"SURGERY PARTNERS, INC.",Hospital/Nursing Management,Health Care
2195,SHAK,"SHAKE SHACK, INC.",Restaurants,Consumer Services
2196,SHBI,SHORE BANCSHARES INC,Major Banks,Finance
2197,SHEN,SHENANDOAH TELECOMMUNICATIONS CO,Telecommunications Equipment,Public Utilities
2198,SHLO,"SHILOH INDUSTRIES, INC.",Industrial Specialties,Capital Goods
2199,SHO,"SUNSTONE HOTEL INVESTORS, INC.",Hotels/Resorts,Consumer Services
2200,SHOO,"STEVEN MADDEN, LTD.",Shoe Manufacturing,Consumer Non-Durables
2201,SHW,SHERWIN-WILLIAMS COMPANY (THE),RETAIL: Building Materials,Consumer Services
2202,SIEN,"SIENTRA, INC.",Industrial Specialties,Health Care
2203,SIG,SIGNET JEWELERS LIMITED,Consumer Specialties,Consumer Services
2204,SIGA,SIGA TECHNOLOGIES INC.,Major Pharmaceuticals,Health Care
2205,SIGI,"SELECTIVE INSURANCE GROUP, INC.",Property-Casualty Insurers,Finance
2206,SII,SPROTT INC.,Finance: Consumer Services,Finance
2207,SIL,GLOBAL X SILVER MINERS ETF,Exchange Traded Fund,Financial
2208,SIRI,SIRIUS XM HOLDINGS INC.,Broadcasting,Consumer Services
2209,SITE,"SITEONE LANDSCAPE SUPPLY, INC.",Farming/Seeds/Milling,Consumer Non-Durables
2210,SIVB,SVB FINANCIAL GROUP,Major Banks,Finance
2211,SIX,SIX FLAGS ENTERTAINMENT CORPORATION NEW,Services-Misc. Amusement & Recreation,Consumer Services
2212,SJI,"SOUTH JERSEY INDUSTRIES, INC.",Oil/Gas Transmission,Public Utilities
2213,SJM,J.M. SMUCKER COMPANY (THE),Packaged Foods,Consumer Non-Durables
2214,SJW,SJW GROUP,Water Supply,Public Utilities
2215,SKT,"TANGER FACTORY OUTLET CENTERS, INC.",Real Estate Investment Trusts,Consumer Services
2216,SKX,"SKECHERS U.S.A., INC.",Shoe Manufacturing,Consumer Non-Durables
2217,SKY,SKYLINE CHAMPION CORPORATION,Homebuilding,Basic Industries
2218,SKYW,"SKYWEST, INC.",Air Freight/Delivery Services,Transportation
2219,SLAB,"SILICON LABORATORIES, INC.",Semiconductors,Technology
2220,SLB,SCHLUMBERGER N.V.,Oilfield Services/Equipment,Energy
2221,SLCA,"U.S. SILICA HOLDINGS, INC.",Mining & Quarrying of Nonmetallic Minerals (No Fuels),Basic Industries
2222,SLG,SL GREEN REALTY CORP,Real Estate Investment Trusts,Consumer Services
2223,SLGN,SILGAN HOLDINGS INC.,Containers/Packaging,Consumer Durables
2224,SLM,SLM CORPORATION,Finance: Consumer Services,Finance
2225,SLP,"SIMULATIONS PLUS, INC.",EDP Services,Technology
2226,SLRC,SOLAR CAPITAL LTD.,,
2227,SM,SM ENERGY COMPANY,Oil & Gas Production,Energy
2228,SMBC,"SOUTHERN MISSOURI BANCORP, INC.",Banks,Finance
2229,SMBK,"SMARTFINANCIAL, INC.",Major Banks,Finance
2230,SMCI,"SUPER MICRO COMPUTER, INC.",Computer Manufacturing,Technology
2231,SMG,SCOTTS MIRACLE-GRO COMPANY (THE),Agricultural Chemicals,Basic Industries
2232,SMHI,SEACOR MARINE HOLDINGS INC.,Marine Transportation,Transportation
2233,SMMF,"SUMMIT FINANCIAL GROUP, INC.",Major Banks,Finance
2234,SMP,"STANDARD MOTOR PRODUCTS, INC.",Auto Parts:O.E.M.,Capital Goods
2235,SMRT,"STEIN MART, INC.",Clothing/Shoe/Accessory Stores,Consumer Services
2236,SMSI,"SMITH MICRO SOFTWARE, INC.",Computer Software: Prepackaged Software,Technology
2237,SMTC,SEMTECH CORPORATION,Semiconductors,Technology
2238,SMTS,SIERRA METALS INC.,Precious Metals,Basic Industries
2239,SNA,SNAP-ON INCORPORATED,Industrial Machinery/Components,Capital Goods
2240,SNCR,"SYNCHRONOSS TECHNOLOGIES, INC.",EDP Services,Technology
2241,SND,"SMART SAND, INC.",Mining & Quarrying of Nonmetallic Minerals (No Fuels),Basic Industries
2242,SNDR,"SCHNEIDER NATIONAL, INC.",Trucking Freight/Courier Services,Transportation
2243,SNDX,"SYNDAX PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
2244,SNPS,"SYNOPSYS, INC.",Computer Software: Prepackaged Software,Technology
2245,SNR,NEW SENIOR INVESTMENT GROUP INC.,Real Estate Investment Trusts,Consumer Services
2246,SNSS,"SUNESIS PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
2247,SNV,SYNOVUS FINANCIAL CORP.,Major Banks,Finance
2248,SNX,SYNNEX CORPORATION,Retail: Computer Software & Peripheral Equipment,Technology
2249,SO,SOUTHERN COMPANY (THE),Electric Utilities: Central,Public Utilities
2250,SOHU,SOHU.COM LIMITED,EDP Services,Technology
2251,SOI,"SOLARIS OILFIELD INFRASTRUCTURE, INC.",Metal Fabrications,Energy
2252,SON,SONOCO PRODUCTS COMPANY,Containers/Packaging,Consumer Durables
2253,SONA,"SOUTHERN NATIONAL BANCORP OF VIRGINIA, INC.",Major Banks,Finance
2254,SONO,"SONOS, INC.",Consumer Electronics/Appliances,Consumer Non-Durables
2255,SP,SP PLUS CORPORATION,Rental/Leasing Companies,Consumer Services
2256,SPB,"SPECTRUM BRANDS HOLDINGS, INC.",Industrial Machinery/Components,Miscellaneous
2257,SPG,"SIMON PROPERTY GROUP, INC.",Real Estate Investment Trusts,Consumer Services
2258,SPGI,S&P GLOBAL INC.,Finance: Consumer Services,Finance
2259,SPKE,"SPARK ENERGY, INC.",Power Generation,Public Utilities
2260,SPLK,SPLUNK INC.,Computer Software: Prepackaged Software,Technology
2261,SPN,"SUPERIOR ENERGY SERVICES, INC.",Oilfield Services/Equipment,Energy
2262,SPNS,SAPIENS INTERNATIONAL CORPORATION N.V.,Computer Software: Prepackaged Software,Technology
2263,SPOK,"SPOK HOLDINGS, INC.",Telecommunications Equipment,Public Utilities
2264,SPPI,"SPECTRUM PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
2265,SPR,"SPIRIT AEROSYSTEMS HOLDINGS, INC.",Military/Government/Technical,Capital Goods
2266,SPRT,"SUPPORT.COM, INC.",EDP Services,Technology
2267,SPSC,"SPS COMMERCE, INC.",Computer Software: Prepackaged Software,Technology
2268,SPTN,SPARTANNASH COMPANY,Food Distributors,Consumer Non-Durables
2269,SPWH,"SPORTSMAN'S WAREHOUSE HOLDINGS, INC.",Other Specialty Stores,Consumer Services
2270,SPWR,SUNPOWER CORPORATION,Semiconductors,Technology
2271,SPXC,SPX CORPORATION,Industrial Machinery/Components,Technology
2272,SQ,"SQUARE, INC.",Computer Software: Prepackaged Software,Technology
2273,SQBG,"SEQUENTIAL BRANDS GROUP, INC.",Apparel,Consumer Non-Durables
2274,SR,SPIRE INC.,Oil/Gas Transmission,Public Utilities
2275,SRC,"SPIRIT REALTY CAPITAL, INC.",Building operators,Consumer Services
2276,SRCE,1ST SOURCE CORPORATION,Major Banks,Finance
2277,SRCL,"STERICYCLE, INC.",Environmental Services,Basic Industries
2278,SRDX,"SURMODICS, INC.",Medical/Dental Instruments,Health Care
2279,SRE,SEMPRA ENERGY,Natural Gas Distribution,Public Utilities
2280,SREV,"SERVICESOURCE INTERNATIONAL, INC.",Business Services,Miscellaneous
2281,SRG,SERITAGE GROWTH PROPERTIES,Real Estate,Finance
2282,SRI,"STONERIDGE, INC.",Auto Parts:O.E.M.,Capital Goods
2283,SRPT,"SAREPTA THERAPEUTICS, INC.",Major Pharmaceuticals,Health Care
2284,SRT,"STARTEK, INC.",Professional Services,Technology
2285,SSB,SOUTH STATE CORPORATION,Major Banks,Finance
2286,SSD,"SIMPSON MANUFACTURING COMPANY, INC.",Industrial Machinery/Components,Capital Goods
2287,SSNC,"SS&C TECHNOLOGIES HOLDINGS, INC.",Computer Software: Prepackaged Software,Technology
2288,SSP,E.W. SCRIPPS COMPANY (THE),Broadcasting,Consumer Services
2289,SSTI,"SHOTSPOTTER, INC.",Computer Software: Prepackaged Software,Technology
2290,SSTK,"SHUTTERSTOCK, INC.",EDP Services,Technology
2291,SSYS,"STRATASYS, LTD.",Computer peripheral equipment,Technology
2292,ST,SENSATA TECHNOLOGIES HOLDING PLC,Industrial Machinery/Components,Capital Goods
2293,STAA,STAAR SURGICAL COMPANY,Ophthalmic Goods,Health Care
2294,STAG,"STAG INDUSTRIAL, INC.",Real Estate Investment Trusts,Consumer Services
2295,STAR,ISTAR INC.,Real Estate Investment Trusts,Consumer Services
2296,STAY,"EXTENDED STAY AMERICA, INC.",Hotels/Resorts,Consumer Services
2297,STBA,"S&T BANCORP, INC.",Major Banks,Finance
2298,STC,STEWART INFORMATION SERVICES CORPORATION,Specialty Insurers,Finance
2299,STE,STERIS PLC,Industrial Specialties,Health Care
2300,STFC,STATE AUTO FINANCIAL CORPORATION,Property-Casualty Insurers,Finance
2301,STL,STERLING BANCORP,Major Banks,Finance
2302,STLD,"STEEL DYNAMICS, INC.",Steel/Iron Ore,Basic Industries
2303,STMP,STAMPS.COM INC.,Business Services,Miscellaneous
2304,STNG,SCORPIO TANKERS INC.,Marine Transportation,Transportation
2305,STOR,STORE CAPITAL CORPORATION,Real Estate Investment Trusts,Consumer Services
2306,STRA,"STRATEGIC EDUCATION, INC.",Other Consumer Services,Consumer Services
2307,STRL,STERLING CONSTRUCTION COMPANY INC,Military/Government/Technical,Basic Industries
2308,STRS,STRATUS PROPERTIES INC.,Homebuilding,Consumer Services
2309,STSA,"SATSUMA PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
2310,STT,STATE STREET CORPORATION,Major Banks,Finance
2311,STWD,"STARWOOD PROPERTY TRUST, INC.",Real Estate Investment Trusts,Consumer Services
2312,STX,SEAGATE TECHNOLOGY PLC,Electronic Components,Technology
2313,STXS,"STEREOTAXIS, INC.",Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care
2314,STZ,CONSTELLATION BRANDS INC,Beverages (Production/Distribution),Consumer Non-Durables
2315,SUI,"SUN COMMUNITIES, INC.",Real Estate Investment Trusts,Consumer Services
2316,SUM,"SUMMIT MATERIALS, INC.",Mining & Quarrying of Nonmetallic Minerals (No Fuels),Basic Industries
2317,SUMR,"SUMMER INFANT, INC.",Miscellaneous manufacturing industries,Consumer Durables
2318,SUN,SUNOCO LP,Integrated oil Companies,Energy
2319,SUNS,SOLAR SENIOR CAPITAL LTD.,,
2320,SUP,"SUPERIOR INDUSTRIES INTERNATIONAL, INC.",Auto Parts:O.E.M.,Capital Goods
2321,SUPN,"SUPERNUS PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
2322,SVVC,"FIRSTHAND TECHNOLOGY VALUE FUND, INC.",,
2323,SWI,SOLARWINDS CORPORATION,Computer Software: Prepackaged Software,Technology
2324,SWK,"STANLEY BLACK & DECKER, INC.",Industrial Machinery/Components,Capital Goods
2325,SWKS,"SKYWORKS SOLUTIONS, INC.",Semiconductors,Technology
2326,SWM,"SCHWEITZER-MAUDUIT INTERNATIONAL, INC.",Paper,Basic Industries
2327,SWN,SOUTHWESTERN ENERGY COMPANY,Oil & Gas Production,Energy
2328,SWX,"SOUTHWEST GAS HOLDINGS, INC.",Oil & Gas Production,Public Utilities
2329,SXC,"SUNCOKE ENERGY, INC.",Steel/Iron Ore,Basic Industries
2330,SXI,STANDEX INTERNATIONAL CORPORATION,Industrial Machinery/Components,Technology
2331,SXT,SENSIENT TECHNOLOGIES CORPORATION,Major Chemicals,Basic Industries
2332,SY,SO-YOUNG INTERNATIONAL INC.,EDP Services,Technology
2333,SYBT,"STOCK YARDS BANCORP, INC.",Major Banks,Finance
2334,SYF,SYNCHRONY FINANCIAL,Finance: Consumer Services,Finance
2335,SYK,STRYKER CORPORATION,Medical/Dental Instruments,Health Care
2336,SYKE,"SYKES ENTERPRISES, INCORPORATED",EDP Services,Technology
2337,SYNA,SYNAPTICS INCORPORATED,Semiconductors,Technology
2338,SYRS,"SYROS PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
2339,SYX,SYSTEMAX INC.,Industrial Machinery/Components,Capital Goods
2340,SYY,SYSCO CORPORATION,Food Distributors,Consumer Non-Durables
2341,T,AT&T INC.,Telecommunications Equipment,Public Utilities
2342,TACO,"DEL TACO RESTAURANTS, INC.",Restaurants,Consumer Services
2343,TAL,TAL EDUCATION GROUP,Other Consumer Services,Consumer Services
2344,TAP,MOLSON COORS BEVERAGE COMPANY,Beverages (Production/Distribution),Consumer Non-Durables
2345,TAST,"CARROLS RESTAURANT GROUP, INC.",Restaurants,Consumer Services
2346,TBBK,"THE BANCORP, INC.",Major Banks,Finance
2347,TBI,"TRUEBLUE, INC.",Professional Services,Technology
2348,TBK,"TRIUMPH BANCORP, INC.",Major Banks,Finance
2349,TBNK,TERRITORIAL BANCORP INC.,Savings Institutions,Finance
2350,TBPH,"THERAVANCE BIOPHARMA, INC.",Major Pharmaceuticals,Health Care
2351,TC,TUANCHE LIMITED,Business Services,Miscellaneous
2352,TCBI,"TEXAS CAPITAL BANCSHARES, INC.",Major Banks,Finance
2353,TCBK,TRICO BANCSHARES,Major Banks,Finance
2354,TCF,TCF FINANCIAL CORPORATION,Major Banks,Finance
2355,TCFC,THE COMMUNITY FINANCIAL CORPORATION,Major Banks,Finance
2356,TCI,"TRANSCONTINENTAL REALTY INVESTORS, INC.",Real Estate Investment Trusts,Consumer Services
2357,TCMD,"TACTILE SYSTEMS TECHNOLOGY, INC.",Medical/Dental Instruments,Health Care
2358,TCO,"TAUBMAN CENTERS, INC.",Real Estate Investment Trusts,Consumer Services
2359,TCPC,BLACKROCK TCP CAPITAL CORP.,,
2360,TCRD,,,
2361,TCS,CONTAINER STORE (THE),Home Furnishings,Consumer Services
2362,TCX,TUCOWS INC.,EDP Services,Technology
2363,TDC,TERADATA CORPORATION,Computer Software: Prepackaged Software,Technology
2364,TDG,TRANSDIGM GROUP INCORPORATED,Military/Government/Technical,Capital Goods
2365,TDOC,"TELADOC HEALTH, INC.",Medical/Nursing Services,Health Care
2366,TDS,"TELEPHONE AND DATA SYSTEMS, INC.",Telecommunications Equipment,Public Utilities
2367,TDW,TIDEWATER INC.,Marine Transportation,Consumer Services
2368,TDY,TELEDYNE TECHNOLOGIES INCORPORATED,Industrial Machinery/Components,Capital Goods
2369,TEAM,ATLASSIAN CORPORATION PLC,Computer Software: Prepackaged Software,Technology
2370,TECH,BIO-TECHNE CORP,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
2371,TEL,TE CONNECTIVITY LTD.,Electronic Components,Technology
2372,TELL,TELLURIAN INC.,Oil & Gas Production,Energy
2373,TEN,TENNECO INC.,Auto Parts:O.E.M.,Capital Goods
2374,TER,"TERADYNE, INC.",Electrical Products,Capital Goods
2375,TERP,,,
2376,TESS,TESSCO TECHNOLOGIES INCORPORATED,Electronic Components,Technology
2377,TEVA,TEVA PHARMACEUTICAL INDUSTRIES LIMITED,Major Pharmaceuticals,Health Care
2378,TEX,TEREX CORPORATION,Construction/Ag Equipment/Trucks,Capital Goods
2379,TFSL,TFS FINANCIAL CORPORATION,Savings Institutions,Finance
2380,TFX,TELEFLEX INCORPORATED,Medical/Dental Instruments,Health Care
2381,TG,TREDEGAR CORPORATION,Metal Fabrications,Capital Goods
