company,mkt_cap,pb_ratio,beta,profit_m,roa,roe
AXTI,131.05M,0.71,2.08,-2.00%,-0.45%,-0.18%
AMPH,687.18M,1.80,1.10,15.90%,1.19%,12.99%
FNB,2.38B,0.50,1.37,29.64%,0.99%,7.14%
KBH,3.19B,1.34,1.88,6.20%,4.96%,13.06%
CAMP,328.61M,1.73,2.39,-21.66%,-1.76%,-46.16%
AMAL,335.42M,0.68,N/A,24.02%,0.86%,9.89%
ATSG,1.09B,2.37,0.85,11.79%,3.97%,34.56%
OCN,64.79M,0.16,1.34,-11.47%,2.95%,-26.16%
REVG,626.80M,1.24,2.87,-0.29%,1.52%,-1.56%
BGG,76.84M,0.19,1.69,-12.50%,-3.17%,-56.80%
BREW,291.23M,2.32,0.74,-2.61%,-1.93%,-3.88%
MKSI,4.47B,2.21,1.50,9.99%,5.51%,9.92%
PRK,1.26B,1.31,0.72,25.23%,1.20%,10.90%
EZPW,231.94M,0.31,1.85,-4.30%,2.39%,-5.20%
DOMO,646.65M,N/A,N/A,-72.47%,-28.33%,N/A
STAG,3.35B,1.50,1.15,24.61%,1.87%,5.05%
RLH,36.81M,0.25,1.19,-21.65%,-4.54%,-16.35%
UFS,1.19B,0.50,1.77,0.18%,1.67%,0.38%
PTEN,437.94M,0.15,2.73,-37.60%,-4.32%,-28.77%
XELA,177.82M,N/A,2.48,-17.99%,1.62%,N/A
VRNT,3.75B,2.85,0.94,2.20%,2.08%,2.85%
PFSI,1.75B,0.85,1.13,27.20%,6.98%,32.13%
SBCF,965.10M,0.98,1.31,29.01%,1.09%,8.13%
PB,4.57B,0.75,1.45,41.24%,1.41%,7.65%
AXE,2.99B,1.61,1.41,2.95%,4.73%,15.03%
IIIV,524.03M,6.31,N/A,-0.54%,2.65%,2.34%
CORT,1.36B,3.67,1.09,31.64%,21.28%,30.49%
NEOG,3.20B,4.65,0.70,14.07%,5.73%,8.85%
MEET,417.86M,2.12,0.89,3.53%,3.68%,3.84%
MRC,349.29M,0.54,2.31,0.86%,2.56%,2.99%
BIO,10.40B,1.81,1.05,67.80%,2.15%,28.31%
HOMB,1.98B,0.79,1.54,38.09%,1.42%,9.13%
CYH,399.73M,N/A,1.60,-4.19%,3.27%,N/A
SRI,452.13M,1.56,1.61,6.77%,3.97%,19.50%
AVID,293.08M,N/A,1.43,0.49%,5.44%,N/A
BNED,166.14M,0.36,2.23,-2.29%,0.60%,-9.27%
RGS,635.52M,2.24,2.76,-4.49%,-0.68%,-12.49%
VAPO,393.87M,7.33,N/A,-94.57%,-30.45%,-126.08%
AFI,30.77M,0.11,2.68,-8.82%,-6.61%,-20.68%
YETI,1.70B,13.90,N/A,6.08%,10.45%,67.91%
TPC,339.64M,0.24,1.67,-7.80%,2.27%,-20.93%
CKPT,83.11M,4.33,2.01,0.00%,-72.28%,-189.77%
BJRI,260.44M,0.90,1.90,2.50%,1.61%,9.35%
HURC,212.94M,0.89,0.79,4.27%,2.23%,4.25%
SMMF,276.68M,1.11,0.57,32.19%,1.23%,11.96%
GMRE,448.09M,1.26,-3.46,12.91%,2.20%,2.56%
MUR,941.40M,0.17,3.30,24.76%,3.82%,-6.48%
TNK,806.70M,0.87,0.28,4.38%,3.68%,4.27%
AGEN,400.10M,N/A,1.92,-200.31%,-36.72%,N/A
AXS,3.26B,0.68,0.62,0.73%,0.21%,0.73%
SPWR,860.66M,84.69,2.25,5.62%,-3.68%,N/A
BRID,173.00M,2.60,0.14,3.40%,4.01%,9.52%
AGCO,3.54B,1.24,1.11,1.39%,4.17%,4.32%
FPI,314.40M,0.74,0.63,26.27%,1.51%,2.64%
GPRO,388.70M,1.66,1.35,-5.02%,-3.53%,-28.62%
FWONK,6.26B,1.20,1.27,-15.38%,-0.19%,-5.76%
HASI,1.46B,1.55,1.53,112.91%,3.93%,9.86%
NIHD,201.56M,N/A,N/A,-6.16%,-1.88%,N/A
CCOI,3.86B,N/A,0.26,6.98%,7.39%,N/A
LQDT,131.88M,1.17,1.10,-8.86%,-5.06%,-16.61%
ENOB,139.49M,0.81,0.36,0.00%,-4.00%,-3.91%
TCBI,1.12B,0.42,2.18,23.64%,0.69%,8.29%
ARA,223.00M,N/A,1.72,-1.28%,4.42%,13.38%
TTD,8.88B,14.51,2.67,17.44%,5.14%,22.15%
ALLK,2.17B,4.38,N/A,0.00%,-18.32%,-28.87%
WYND,1.85B,N/A,1.92,7.95%,4.66%,N/A
GNL,1.20B,0.70,0.96,15.42%,1.72%,3.00%
BUSE,930.80M,0.76,1.11,24.39%,0.96%,7.72%
ACIA,2.80B,4.85,0.96,8.56%,2.68%,7.40%
PODD,10.45B,137.65,0.93,0.66%,3.05%,3.61%
GLYC,99.37M,0.64,2.52,0.00%,-18.54%,-30.16%
ADVM,775.63M,4.72,2.11,0.00%,-19.64%,-34.29%
CBB,740.26M,N/A,0.78,-4.79%,2.13%,N/A
CERS,762.42M,13.36,1.29,-90.97%,-20.94%,-75.77%
BRKL,894.67M,0.95,0.79,21.59%,0.60%,5.29%
BMRC,407.90M,1.21,0.83,33.09%,1.30%,10.20%
TRS,1.00B,1.44,1.02,12.64%,4.44%,9.20%
TTEC,1.71B,3.96,0.52,4.74%,5.82%,21.69%
CBTX,439.74M,0.82,1.23,33.51%,1.42%,9.19%
FUL,2.02B,1.65,1.82,4.47%,3.79%,10.73%
OGS,4.42B,2.08,0.28,12.16%,3.30%,8.61%
IMAX,532.02M,0.97,1.49,-3.07%,1.72%,-2.32%
CRK,1.02B,0.90,N/A,14.94%,4.84%,11.71%
WATT,28.20M,1.48,3.93,0.00%,-74.68%,-137.35%
AYI,4.08B,2.05,1.37,8.43%,8.29%,15.53%
CVM,430.86M,61.83,2.55,0.00%,-51.11%,-477.69%
DGICA,428.54M,0.97,-0.02,3.56%,1.09%,6.27%
ZEN,7.30B,15.93,1.32,-19.22%,-6.61%,-38.60%
QUOT,583.99M,2.05,0.71,-9.28%,-2.47%,-13.07%
ARTNA,344.92M,2.17,-0.06,18.32%,2.90%,9.71%
IOSP,1.71B,1.86,1.20,7.79%,6.96%,13.01%
M,4.93B,0.81,1.56,2.23%,3.69%,8.80%
NEO,2.91B,5.74,0.79,0.82%,0.95%,0.83%
LBRDK,20.03B,1.89,1.05,797.65%,-0.16%,1.16%
HMST,526.54M,0.76,1.05,9.61%,0.61%,6.01%
MGRC,1.27B,2.00,0.88,17.06%,7.03%,16.17%
IESC,371.91M,1.46,0.89,3.11%,6.02%,14.55%
WLK,4.87B,0.83,1.68,6.16%,3.20%,8.51%
NAVI,1.47B,0.44,1.92,24.95%,0.37%,13.22%
CBU,3.06B,1.65,0.80,28.62%,1.47%,8.96%
HCCI,377.55M,1.42,1.68,3.55%,5.22%,6.33%
NTRA,2.35B,8.43,1.32,-38.27%,-20.12%,-95.57%
MSTR,1.15B,2.27,0.62,8.90%,0.67%,9.13%
BOX,2.26B,108.96,1.41,-20.73%,-10.83%,-536.99%
DBI,1.02B,1.37,1.84,2.70%,4.36%,12.17%
VHI,349.41M,N/A,2.37,2.95%,3.02%,8.89%
SBOW,29.36M,0.07,2.66,34.36%,14.20%,27.13%
SAIL,1.37B,3.16,2.05,-2.81%,-0.38%,-2.11%
BLBD,293.36M,N/A,1.39,2.37%,9.11%,N/A
GEO,1.48B,1.48,1.10,6.11%,4.11%,15.21%
INS,303.36M,8.14,1.28,28.23%,19.52%,29.93%
PBH,1.84B,1.59,0.80,14.77%,5.40%,12.55%
TMDX,256.28M,4.72,N/A,-134.19%,-29.17%,-204.11%
PRFT,868.54M,2.28,1.41,6.77%,6.26%,10.51%
BCML,147.37M,0.58,0.86,19.15%,0.83%,6.61%
BKD,586.60M,0.84,1.76,4.32%,0.87%,14.58%
NERV,236.10M,8.50,1.77,0.00%,-33.25%,-142.65%
GCO,578.01M,1.01,1.69,2.79%,4.24%,9.10%
FELE,2.17B,2.73,1.10,7.52%,6.96%,13.11%
DAN,1.13B,0.60,2.62,1.98%,4.65%,9.24%
ESCA,83.88M,0.66,1.10,4.81%,4.78%,7.09%
GLPI,5.96B,2.87,0.94,34.35%,5.34%,18.71%
TRU,12.56B,5.59,1.18,12.71%,5.79%,16.79%
FOE,769.79M,2.14,1.78,0.85%,3.01%,11.53%
SYBT,654.91M,1.61,0.76,37.15%,1.80%,16.16%
PBI,349.64M,1.22,2.70,-0.35%,2.46%,-303.76%
OHI,6.02B,1.46,0.84,37.71%,3.84%,9.27%
WRE,1.96B,1.39,0.84,123.89%,0.80%,3.45%
ERIE,6.85B,6.84,0.53,12.03%,11.85%,28.24%
LIND,207.11M,1.68,2.02,-0.08%,2.20%,0.92%
PNRG,302.37M,2.92,0.68,3.19%,1.06%,3.49%
METC,101.97M,0.60,0.87,9.32%,6.21%,12.44%
NOG,269.09M,0.48,2.18,73.69%,18.88%,60.39%
WTRH,94.22M,4.34,N/A,-142.99%,-13.44%,-203.89%
TNET,2.58B,5.43,1.92,6.05%,7.49%,51.12%
CBSH,5.63B,1.88,1.03,30.29%,1.45%,11.92%
ENR,2.07B,3.52,1.19,-0.67%,5.41%,22.71%
FVCB,179.39M,1.00,0.31,32.08%,1.04%,9.15%
USLM,415.42M,1.91,0.64,16.66%,7.37%,11.77%
NSSC,278.42M,3.56,1.30,14.03%,11.31%,20.72%
CLPR,92.28M,1.61,0.88,-1.62%,1.96%,-3.26%
AMBC,562.43M,0.38,1.66,-209.72%,-1.25%,-33.21%
FLXS,87.58M,0.42,1.34,-5.22%,-3.50%,-9.80%
IMXI,347.25M,6.20,N/A,7.79%,0.53%,40.45%
OSG,194.87M,0.57,0.28,8.30%,2.06%,8.73%
OSUR,667.40M,2.17,0.55,8.04%,1.23%,4.41%
AAT,1.50B,1.14,1.02,12.48%,2.86%,5.79%
ARI,1.14B,0.43,1.28,47.47%,0.55%,1.40%
JAX,143.51M,1.13,1.70,3.57%,3.03%,7.17%
LTHM,767.50M,1.41,N/A,8.76%,4.09%,5.99%
VC,1.34B,2.80,2.15,0.74%,2.86%,5.43%
CARE,497.45M,1.07,1.18,19.05%,0.58%,5.07%
GME,253.14M,0.41,1.16,-7.28%,0.27%,-47.69%
FI,585.10M,0.72,1.25,-52.42%,-2.83%,-33.82%
ANIK,409.60M,1.42,1.18,20.87%,5.82%,9.33%
TK,536.17M,1.15,1.42,-15.96%,2.93%,-5.48%
CRUS,3.85B,3.05,N/A,12.45%,8.29%,13.46%
CATC,281.44M,0.98,0.53,22.47%,1.05%,11.19%
SIRI,21.63B,N/A,1.22,13.06%,10.10%,N/A
LGF-A,2.25B,0.83,1.45,-7.74%,1.15%,-10.27%
HCI,311.34M,1.68,0.63,8.59%,3.12%,11.13%
SITE,3.08B,7.84,1.22,3.51%,5.13%,25.73%
FCN,4.44B,2.98,0.26,8.76%,7.21%,14.69%
ROCK,1.39B,2.06,1.36,6.62%,7.16%,11.04%
REPH,191.63M,N/A,N/A,-25.38%,8.53%,N/A
KOD,2.12B,6.14,N/A,0.00%,-15.67%,-31.28%
DKS,3.74B,2.19,1.54,3.40%,5.11%,16.36%
AMTD,18.75B,2.14,1.24,33.94%,4.30%,22.08%
IMMR,158.66M,1.89,1.51,-37.36%,-6.93%,-17.46%
RHP,1.97B,3.06,1.48,4.53%,3.33%,7.55%
KREF,838.13M,0.75,0.65,48.06%,0.59%,2.88%
EVC,171.24M,0.59,0.37,-20.77%,2.38%,-19.84%
TWO,1.04B,0.26,1.62,0.00%,-5.99%,-39.59%
GKOS,1.36B,2.02,1.78,-15.65%,-8.52%,-9.02%
NSTG,906.76M,8.71,1.31,-46.13%,-19.18%,-49.99%
FTK,115.76M,0.55,2.61,-133.08%,-22.08%,-73.01%
DRH,1.01B,0.53,1.74,15.46%,1.34%,7.58%
SOLY,137.15M,13.36,N/A,0.00%,-108.37%,-227.84%
VSTO,510.74M,0.84,0.25,-8.83%,1.39%,-29.50%
MCRB,255.87M,N/A,0.96,-186.09%,-38.49%,N/A
LOCO,296.51M,1.21,1.61,6.29%,3.96%,10.78%
MSG,5.07B,1.91,0.60,-11.57%,-1.82%,-7.75%
OSMT,187.30M,1.63,N/A,-115.44%,0.77%,-101.83%
LSXMA,11.17B,0.93,1.30,8.08%,3.29%,5.55%
BOOM,339.43M,1.97,1.09,6.21%,15.33%,14.27%
WCC,956.80M,0.42,1.95,2.58%,4.23%,9.75%
LGF-B,2.25B,0.77,1.45,-7.74%,1.15%,-10.27%
NSP,1.47B,360.03,1.70,3.12%,8.11%,236.27%
UBSI,2.35B,0.70,1.45,34.54%,1.18%,7.14%
KTOS,1.48B,2.58,1.13,1.27%,1.96%,1.27%
INSG,599.20M,N/A,1.90,-22.32%,-8.82%,N/A
FARM,119.93M,0.64,1.19,-6.42%,-2.23%,-23.01%
SCCO,21.77B,3.20,1.07,18.10%,10.21%,19.60%
RNR,6.58B,1.24,0.39,9.14%,1.73%,7.51%
ANIP,492.74M,2.32,1.55,-0.67%,0.57%,-0.68%
MAT,3.06B,6.22,1.51,-5.62%,1.28%,-73.32%
EYPT,127.24M,15.27,1.42,-196.30%,-34.42%,-279.11%
THFF,463.78M,0.83,0.87,29.77%,1.45%,9.84%
ALDX,72.88M,1.52,1.93,0.00%,-45.74%,-90.32%
ATRI,1.20B,5.03,0.16,23.06%,10.27%,15.99%
FIBK,1.86B,0.92,1.19,27.07%,1.21%,9.14%
NWLI,625.40M,0.29,1.11,13.64%,0.57%,4.45%
SPKE,220.68M,4.31,0.48,1.65%,4.51%,12.99%
WHD,874.13M,2.67,2.51,12.47%,13.80%,29.40%
COLM,4.61B,2.49,0.65,8.68%,7.11%,15.01%
EBS,3.03B,2.78,1.25,6.14%,4.70%,6.59%
VG,1.77B,3.13,0.49,-1.88%,0.63%,-4.25%
CDEV,72.87M,0.02,7.59,-56.81%,-7.83%,-17.61%
ENDP,845.24M,N/A,1.62,-9.09%,4.47%,N/A
FMAO,288.56M,1.25,0.26,29.88%,1.24%,8.51%
RMR,844.55M,2.89,1.38,16.56%,7.71%,12.84%
TRMK,1.48B,0.89,1.12,22.96%,1.01%,8.60%
AXAS,85.46M,0.55,3.61,43.17%,10.76%,41.93%
CRVL,1.60B,7.90,0.82,7.96%,10.54%,24.62%
DS,101.95M,25.54,1.59,-20.63%,-6.60%,-72.94%
TGH,451.04M,0.36,1.69,5.10%,2.60%,2.73%
CDXC,194.31M,9.50,1.65,-58.73%,-44.85%,-158.36%
CNA,8.42B,0.69,0.87,5.76%,0.90%,5.47%
WLL,61.28M,0.02,4.37,-266.24%,1.85%,-165.36%
CWEN,3.55B,2.03,1.13,-1.86%,2.25%,-7.08%
DCI,6.57B,7.21,1.40,9.47%,10.66%,28.61%
FHN,2.51B,0.54,1.58,20.56%,0.83%,7.38%
PSTG,4.63B,5.96,1.59,-12.23%,-5.51%,-25.64%
RC,376.10M,0.46,1.16,-3.65%,-0.16%,-0.90%
COUP,10.40B,22.63,1.40,-23.31%,-3.74%,-23.94%
ACLS,601.25M,1.43,1.42,5.99%,3.48%,5.26%
KELYA,493.99M,0.39,1.11,-1.20%,2.12%,-5.52%
FSP,614.65M,0.78,1.05,2.47%,1.45%,0.84%
ICD,5.33M,0.02,7.86,-47.67%,-1.75%,-25.00%
SPN,73.73M,0.52,2.95,-17.94%,1.06%,-45.70%
LCII,1.68B,2.10,1.69,5.76%,7.41%,18.35%
ORC,195.40M,0.49,1.28,0.00%,-2.41%,-23.91%
CURO,216.13M,4.28,3.70,9.67%,13.18%,230.99%
ERA,115.96M,0.25,1.31,-2.11%,-0.36%,-1.16%
SSTI,313.24M,11.49,1.79,5.22%,2.02%,7.72%
TCS,203.90M,0.79,1.89,1.92%,3.13%,6.87%
ATNX,631.78M,3.36,0.93,-87.86%,-24.29%,-85.90%
APEI,353.71M,1.19,0.69,3.97%,3.03%,3.77%
APLS,2.02B,59.01,1.33,0.00%,-41.96%,-174.86%
UVV,1.41B,1.08,0.68,4.49%,4.49%,6.83%
GCBC,199.41M,1.65,0.37,37.53%,1.27%,15.66%
CTB,819.60M,0.65,1.24,2.92%,3.67%,6.53%
BAH,9.98B,11.88,0.80,5.96%,9.64%,54.50%
RLJ,1.28B,0.45,1.78,4.97%,1.79%,2.17%
RMBS,1.26B,1.30,0.92,-29.97%,-2.94%,-7.31%
RYAM,67.04M,0.10,3.96,-1.41%,-1.36%,-17.50%
APPF,3.80B,28.76,0.91,12.73%,2.36%,31.41%
JILL,52.40M,0.69,2.13,-18.60%,2.32%,-101.89%
PSB,3.72B,4.65,0.45,44.22%,5.55%,11.26%
USCR,302.94M,0.88,1.39,0.98%,2.65%,4.59%
RAD,746.63M,0.73,0.91,-2.06%,1.80%,-50.42%
HLIT,556.22M,2.18,0.80,-4.13%,0.94%,-7.25%
AMWD,1.86B,2.75,2.29,5.06%,5.74%,12.93%
FC,434.96M,5.21,1.57,1.89%,2.55%,5.95%
STRS,253.95M,2.12,0.69,-8.21%,-0.53%,-1.99%
AROC,575.00M,0.53,2.81,1.70%,4.75%,1.81%
FR,4.23B,2.35,0.89,59.14%,3.01%,15.10%
ACIW,2.80B,2.48,1.34,5.10%,3.78%,6.53%
CREE,3.84B,1.93,1.08,-30.11%,-2.81%,-9.29%
OSW,248.55M,0.39,N/A,-35.53%,2.06%,-34.55%
PYX,82.05M,0.79,0.93,-6.83%,1.24%,-71.60%
GES,1.40B,2.46,1.68,3.58%,5.27%,13.28%
REX,474.10M,1.20,1.38,1.78%,-0.87%,2.59%
SBBP,102.53M,1.42,4.90,-181.82%,-29.64%,-55.28%
CDE,781.91M,1.17,1.64,-45.75%,-2.35%,-44.73%
HARP,288.79M,3.07,N/A,0.00%,-21.70%,-50.30%
CBAY,101.95M,0.55,1.09,0.00%,-25.03%,-42.90%
BECN,1.15B,0.62,1.76,-1.24%,1.52%,-4.08%
ALGT,1.34B,1.52,1.30,7.89%,N/A,N/A
DIN,470.96M,N/A,1.74,10.80%,5.73%,N/A
RGEN,5.05B,4.76,1.05,8.11%,2.40%,2.73%
AWI,3.79B,10.37,1.24,-4.86%,-4.16%,-5.13%
SUI,11.65B,3.05,0.54,8.69%,2.43%,3.51%
TACO,127.19M,0.42,1.73,-43.69%,1.99%,-71.27%
Z,7.40B,2.23,1.13,-11.75%,-3.03%,-11.98%
SBBX,160.10M,0.80,0.94,30.62%,1.11%,11.36%
PFIS,293.62M,0.98,0.31,29.47%,1.01%,8.33%
TMST,145.03M,0.26,1.96,-12.15%,-6.55%,-24.63%
ENS,3.17B,2.41,1.57,5.07%,5.31%,11.71%
BRT,222.01M,1.21,0.63,4.52%,-1.50%,0.84%
ACGL,11.54B,1.08,0.68,19.76%,2.31%,9.61%
MEC,119.82M,0.60,N/A,-1.48%,1.89%,-8.11%
MNLO,164.82M,2.41,N/A,0.00%,-54.07%,-162.96%
XBIT,306.42M,0.41,1.51,"5,318.81%",-8.66%,351.23%
AIN,1.53B,2.19,1.51,10.81%,8.31%,17.22%
ARES,4.09B,8.72,1.28,5.60%,0.77%,-1.42%
GTY,982.63M,1.67,0.83,36.27%,4.01%,8.84%
FSCT,1.55B,15.88,0.70,-45.71%,-19.81%,-173.70%
ATH,4.82B,0.36,1.36,4.29%,0.15%,2.53%
GCI,195.45M,0.20,1.45,-7.86%,2.73%,-24.39%
CTLT,8.05B,4.69,1.64,4.79%,3.95%,6.23%
DCOM,471.71M,0.78,1.10,23.35%,0.52%,5.28%
MDGL,1.03B,2.47,1.68,0.00%,-16.11%,-24.59%
SCSC,542.15M,0.58,1.32,0.95%,2.23%,4.00%
CALX,400.93M,2.60,1.44,-3.41%,-1.98%,-10.02%
RDFN,1.45B,4.37,1.84,-8.57%,-7.40%,-24.81%
CAR,959.10M,1.46,2.24,2.61%,2.21%,76.30%
CMO,404.86M,0.49,1.36,0.00%,-2.13%,-24.34%
TTEK,3.82B,3.72,0.88,5.90%,6.23%,14.89%
LBRDA,20.03B,1.82,1.05,797.65%,-0.16%,1.16%
PLAN,7.69B,26.50,N/A,-42.88%,-15.60%,-49.81%
WNEB,173.36M,0.75,0.33,18.88%,0.56%,5.27%
NMRK,756.45M,1.26,1.71,4.82%,2.61%,15.33%
ONB,2.18B,0.76,0.99,26.14%,1.00%,7.34%
HBNC,431.51M,0.66,1.33,33.13%,1.29%,10.86%
SYX,669.36M,3.79,0.76,4.99%,11.26%,34.29%
EXPR,256.27M,0.47,1.98,-8.14%,-0.41%,-33.15%
NRIM,174.43M,0.83,0.59,17.49%,1.08%,8.57%
ETSY,4.55B,11.19,1.63,8.76%,4.36%,18.58%
DNR,93.47M,0.07,4.38,26.13%,6.30%,24.28%
PLSE,149.42M,4.86,2.23,0.00%,-64.92%,-120.58%
PACD,32.34M,0.03,2.99,-210.61%,-5.22%,-41.92%
LXU,61.54M,0.25,2.92,-20.13%,-2.04%,-14.32%
STAA,1.45B,9.07,1.64,8.21%,2.96%,8.30%
KFRC,568.68M,3.40,1.32,8.34%,11.81%,33.56%
OMI,575.40M,1.25,0.10,-0.66%,1.63%,-4.48%
ALRM,1.89B,5.32,1.15,9.84%,7.52%,15.80%
NUVA,2.64B,2.83,1.43,5.30%,3.90%,7.08%
TXMD,287.98M,31.30,2.23,0.00%,-45.51%,"-2,499.18%"
MD,991.15M,0.66,1.40,-36.30%,4.62%,-56.61%
G,5.55B,3.29,1.13,9.07%,6.41%,21.49%
PPC,4.50B,1.78,1.04,3.73%,5.84%,19.04%
ATRS,390.72M,7.17,1.42,0.87%,2.44%,2.40%
FF,492.99M,1.06,1.03,48.49%,8.98%,27.15%
HONE,439.89M,0.66,0.90,12.16%,0.54%,4.03%
CLDR,2.95B,2.10,0.91,-42.38%,-9.44%,-22.44%
CTRA,42.91M,0.06,1.54,-16.87%,0.36%,-28.94%
PIRS,125.88M,2.45,1.42,-36.71%,-9.97%,-46.81%
VMI,2.28B,2.05,1.30,5.84%,5.86%,14.73%
STAY,1.30B,1.10,1.91,12.15%,4.57%,12.01%
CMTL,714.63M,1.33,2.04,3.48%,3.12%,4.44%
CLNC,506.36M,0.24,1.76,-90.14%,-0.17%,-23.29%
ACC,3.82B,1.16,1.08,14.33%,1.70%,3.89%
APPN,2.72B,13.26,0.93,-16.91%,-9.25%,-36.00%
SRNE,376.40M,4.79,2.69,0.00%,-20.78%,-337.39%
CRMT,725.66M,2.61,1.41,7.80%,9.15%,21.05%
TCRR,186.20M,1.16,N/A,0.00%,-20.23%,-31.42%
PTN,97.11M,1.06,1.54,61.44%,40.48%,72.21%
WEYS,198.57M,0.94,0.61,6.16%,5.25%,8.79%
RH,3.98B,N/A,2.39,8.32%,9.76%,N/A
VIAV,2.56B,3.34,1.19,1.25%,3.58%,2.06%
WMS,2.67B,5.69,1.44,-12.35%,7.14%,-25.79%
MGLN,1.20B,0.86,1.14,1.02%,2.59%,5.41%
SWI,4.86B,1.83,N/A,1.65%,1.59%,0.61%
LPSN,1.49B,10.00,1.07,-37.65%,-11.75%,-67.68%
SRT,307.43M,1.35,N/A,-2.28%,1.93%,-4.85%
MEI,1.21B,1.66,1.39,10.74%,7.51%,16.02%
THRM,1.02B,2.17,1.37,4.35%,7.24%,8.63%
MHO,471.49M,0.47,2.01,5.45%,5.98%,14.84%
AIRG,71.63M,1.50,1.42,-1.18%,-1.32%,-1.31%
POR,4.29B,1.66,0.35,10.46%,2.82%,8.56%
HUN,3.17B,1.18,2.08,17.08%,2.94%,8.07%
SPLK,24.50B,13.42,1.52,-14.27%,-3.31%,-19.13%
SSNC,11.22B,2.19,1.48,9.78%,3.78%,9.30%
FNLC,240.26M,1.13,0.68,37.76%,1.25%,12.52%
CSV,457.09M,2.04,0.76,5.30%,3.29%,6.49%
IVR,2.40B,1.02,1.41,88.75%,1.81%,13.95%
AVRO,560.63M,3.01,N/A,0.00%,-27.35%,-45.05%
SWAV,1.06B,5.48,N/A,-112.25%,-19.38%,-37.19%
FULT,1.85B,0.79,0.99,24.71%,0.89%,8.53%
TBBK,348.42M,0.72,1.54,19.73%,0.93%,10.08%
GRC,813.57M,2.64,0.69,8.67%,6.91%,11.26%
PRIM,767.25M,1.22,1.08,2.40%,4.78%,12.63%
HALO,2.44B,26.54,1.74,-48.75%,-6.16%,-50.39%
CHMA,154.27M,1.80,1.45,0.00%,-39.17%,-87.87%
NRZ,2.08B,0.31,1.73,0.00%,-4.02%,-18.91%
WTBA,268.91M,1.27,0.96,39.25%,1.24%,15.05%
CNO,1.78B,0.38,1.32,9.07%,0.56%,8.85%
XOG,58.19M,0.24,2.54,-163.60%,-20.72%,-106.90%
EVH,460.04M,0.50,1.64,-37.17%,-3.52%,-33.50%
PAR,234.62M,3.22,1.31,-12.04%,-5.68%,-39.66%
GRIF,204.22M,2.25,0.88,8.86%,3.04%,4.35%
ECHO,443.00M,1.16,1.33,0.38%,1.90%,2.22%
TRNO,3.50B,2.31,0.69,30.15%,1.95%,3.67%
SNDR,3.43B,1.53,1.08,3.29%,5.73%,6.95%
ITRI,2.24B,2.89,1.38,2.40%,3.24%,8.08%
SWCH,3.48B,16.79,0.63,1.44%,3.10%,3.64%
BWB,280.87M,1.15,0.99,42.62%,1.42%,13.26%
HXL,3.10B,2.14,1.21,12.10%,7.63%,19.82%
LMNX,1.23B,2.64,0.73,-1.79%,-0.67%,-1.32%
CHCO,1.09B,1.63,0.60,40.30%,1.93%,14.83%
LOGM,4.05B,1.48,0.78,-1.32%,0.83%,-0.60%
SNCR,135.92M,1.79,0.98,-29.52%,-9.85%,-27.50%
ZYXI,363.84M,18.60,1.14,19.57%,27.04%,57.72%
STRO,236.92M,2.42,N/A,-148.06%,-21.30%,-57.41%
NBHC,728.55M,0.95,1.15,27.74%,1.31%,10.45%
CACI,5.30B,2.11,1.29,4.96%,4.92%,11.35%
RARE,2.64B,4.04,2.20,0.00%,-24.86%,-56.82%
MFSF,338.44M,1.54,N/A,N/A,N/A,N/A
BCRX,308.38M,8.06,2.77,-241.66%,-49.79%,-882.75%
MTRX,247.46M,0.77,1.39,-1.11%,3.52%,-4.49%
SILK,988.33M,13.75,N/A,-54.94%,-22.72%,-177.87%
FIT,1.78B,3.65,1.03,-16.35%,-17.55%,-37.04%
BIG,1.06B,1.39,2.18,4.55%,4.02%,31.52%
ABTX,490.74M,0.69,1.36,24.76%,0.90%,6.21%
HLIO,1.22B,2.11,1.21,4.96%,5.54%,4.88%
FNHC,163.13M,0.66,0.97,1.63%,0.97%,3.07%
INGN,1.14B,3.30,0.84,3.90%,1.86%,4.20%
ALEX,811.28M,0.72,1.42,-9.99%,0.99%,-3.48%
IIN,103.73M,1.14,1.02,-6.20%,-0.71%,-5.51%
AI,80.63M,0.28,1.81,0.00%,-2.79%,-33.27%
CRL,6.25B,3.82,1.14,9.09%,5.34%,16.07%
ESTE,114.58M,0.33,2.47,17.70%,6.03%,9.22%
FTSI,23.97M,0.64,2.62,-4.20%,-0.25%,-71.93%
MDB,9.41B,42.98,0.60,-41.62%,-8.93%,-101.04%
QTWO,2.89B,7.62,1.55,-25.46%,-5.48%,-33.38%
SPTN,517.64M,0.75,0.98,0.07%,1.52%,0.84%
ITT,3.91B,1.89,1.59,12.03%,5.84%,17.34%
RPAI,1.11B,0.68,1.41,6.60%,2.07%,1.90%
TWI,93.56M,0.40,1.85,-5.50%,-2.00%,-28.36%
BCC,932.10M,1.33,2.23,1.71%,5.58%,11.78%
HEI-A,14.37B,7.77,1.08,17.68%,10.06%,21.44%
TERP,3.57B,1.78,0.64,-20.27%,0.81%,-9.24%
ZS,7.25B,23.09,0.52,-17.70%,-4.42%,-21.38%
NWE,3.03B,1.48,0.37,14.89%,2.67%,8.89%
TCMD,772.14M,6.86,2.04,4.19%,4.18%,7.99%
SCWX,1.28B,1.92,1.05,-5.73%,-3.13%,-4.66%
HVT,223.73M,0.85,N/A,2.53%,2.96%,7.51%
